,filepath,filename,label
919,image_data/forehand/F_271.jpeg,F_271.jpeg,forehand
1794,image_data/serve/S_149.jpeg,S_149.jpeg,serve
685,image_data/forehand/F_003.jpeg,F_003.jpeg,forehand
262,image_data/backhand/B_279.jpeg,B_279.jpeg,backhand
1629,image_data/serve/S_307.jpeg,S_307.jpeg,serve
747,image_data/forehand/F_433.jpeg,F_433.jpeg,forehand
1227,image_data/ready_position/R_453.jpeg,R_453.jpeg,ready_position
1199,image_data/ready_position/R_275.jpeg,R_275.jpeg,ready_position
1303,image_data/ready_position/R_466.jpeg,R_466.jpeg,ready_position
1649,image_data/serve/S_413.jpeg,S_413.jpeg,serve
1579,image_data/serve/S_414.jpeg,S_414.jpeg,serve
253,image_data/backhand/B_310.jpeg,B_310.jpeg,backhand
1289,image_data/ready_position/R_240.jpeg,R_240.jpeg,ready_position
252,image_data/backhand/B_255.jpeg,B_255.jpeg,backhand
118,image_data/backhand/B_374.jpeg,B_374.jpeg,backhand
1113,image_data/ready_position/R_199.jpeg,R_199.jpeg,ready_position
247,image_data/backhand/B_097.jpeg,B_097.jpeg,backhand
81,image_data/backhand/B_155.jpeg,B_155.jpeg,backhand
1854,image_data/serve/S_083.jpeg,S_083.jpeg,serve
821,image_data/forehand/F_305.jpeg,F_305.jpeg,forehand
701,image_data/forehand/F_452.jpeg,F_452.jpeg,forehand
950,image_data/forehand/F_437.jpeg,F_437.jpeg,forehand
1860,image_data/serve/S_386.jpeg,S_386.jpeg,serve
64,image_data/backhand/B_138.jpeg,B_138.jpeg,backhand
1927,image_data/serve/S_250.jpeg,S_250.jpeg,serve
1207,image_data/ready_position/R_035.jpeg,R_035.jpeg,ready_position
1299,image_data/ready_position/R_364.jpeg,R_364.jpeg,ready_position
1352,image_data/ready_position/R_345.jpeg,R_345.jpeg,ready_position
720,image_data/forehand/F_215.jpeg,F_215.jpeg,forehand
346,image_data/backhand/B_413.jpeg,B_413.jpeg,backhand
1754,image_data/serve/S_490.jpeg,S_490.jpeg,serve
1143,image_data/ready_position/R_192.jpeg,R_192.jpeg,ready_position
1215,image_data/ready_position/R_131.jpeg,R_131.jpeg,ready_position
1614,image_data/serve/S_199.jpeg,S_199.jpeg,serve
993,image_data/forehand/F_143.jpeg,F_143.jpeg,forehand
637,image_data/forehand/F_432.jpeg,F_432.jpeg,forehand
629,image_data/forehand/F_473.jpeg,F_473.jpeg,forehand
790,image_data/forehand/F_001.jpeg,F_001.jpeg,forehand
1198,image_data/ready_position/R_330.jpeg,R_330.jpeg,ready_position
1764,image_data/serve/S_329.jpeg,S_329.jpeg,serve
1944,image_data/serve/S_210.jpeg,S_210.jpeg,serve
755,image_data/forehand/F_188.jpeg,F_188.jpeg,forehand
822,image_data/forehand/F_240.jpeg,F_240.jpeg,forehand
1171,image_data/ready_position/R_219.jpeg,R_219.jpeg,ready_position
956,image_data/forehand/F_362.jpeg,F_362.jpeg,forehand
1364,image_data/ready_position/R_105.jpeg,R_105.jpeg,ready_position
1791,image_data/serve/S_372.jpeg,S_372.jpeg,serve
496,image_data/backhand/B_161.jpeg,B_161.jpeg,backhand
721,image_data/forehand/F_350.jpeg,F_350.jpeg,forehand
53,image_data/backhand/B_494.jpeg,B_494.jpeg,backhand
225,image_data/backhand/B_082.jpeg,B_082.jpeg,backhand
1918,image_data/serve/S_293.jpeg,S_293.jpeg,serve
1925,image_data/serve/S_196.jpeg,S_196.jpeg,serve
1523,image_data/serve/S_321.jpeg,S_321.jpeg,serve
1942,image_data/serve/S_181.jpeg,S_181.jpeg,serve
407,image_data/backhand/B_479.jpeg,B_479.jpeg,backhand
196,image_data/backhand/B_431.jpeg,B_431.jpeg,backhand
884,image_data/forehand/F_007.jpeg,F_007.jpeg,forehand
1136,image_data/ready_position/R_096.jpeg,R_096.jpeg,ready_position
1584,image_data/serve/S_253.jpeg,S_253.jpeg,serve
1494,image_data/ready_position/R_267.jpeg,R_267.jpeg,ready_position
1814,image_data/serve/S_165.jpeg,S_165.jpeg,serve
444,image_data/backhand/B_395.jpeg,B_395.jpeg,backhand
1147,image_data/ready_position/R_106.jpeg,R_106.jpeg,ready_position
604,image_data/forehand/F_012.jpeg,F_012.jpeg,forehand
135,image_data/backhand/B_369.jpeg,B_369.jpeg,backhand
1030,image_data/ready_position/R_182.jpeg,R_182.jpeg,ready_position
236,image_data/backhand/B_057.jpeg,B_057.jpeg,backhand
640,image_data/forehand/F_465.jpeg,F_465.jpeg,forehand
1624,image_data/serve/S_249.jpeg,S_249.jpeg,serve
1011,image_data/ready_position/R_198.jpeg,R_198.jpeg,ready_position
1255,image_data/ready_position/R_243.jpeg,R_243.jpeg,ready_position
378,image_data/backhand/B_249.jpeg,B_249.jpeg,backhand
1332,image_data/ready_position/R_037.jpeg,R_037.jpeg,ready_position
1212,image_data/ready_position/R_218.jpeg,R_218.jpeg,ready_position
470,image_data/backhand/B_213.jpeg,B_213.jpeg,backhand
593,image_data/forehand/F_116.jpeg,F_116.jpeg,forehand
314,image_data/backhand/B_366.jpeg,B_366.jpeg,backhand
975,image_data/forehand/F_342.jpeg,F_342.jpeg,forehand
285,image_data/backhand/B_473.jpeg,B_473.jpeg,backhand
870,image_data/forehand/F_276.jpeg,F_276.jpeg,forehand
898,image_data/forehand/F_178.jpeg,F_178.jpeg,forehand
1824,image_data/serve/S_076.jpeg,S_076.jpeg,serve
1444,image_data/ready_position/R_210.jpeg,R_210.jpeg,ready_position
1739,image_data/serve/S_039.jpeg,S_039.jpeg,serve
381,image_data/backhand/B_463.jpeg,B_463.jpeg,backhand
869,image_data/forehand/F_108.jpeg,F_108.jpeg,forehand
679,image_data/forehand/F_150.jpeg,F_150.jpeg,forehand
927,image_data/forehand/F_123.jpeg,F_123.jpeg,forehand
29,image_data/backhand/B_142.jpeg,B_142.jpeg,backhand
1619,image_data/serve/S_434.jpeg,S_434.jpeg,serve
1980,image_data/serve/S_359.jpeg,S_359.jpeg,serve
161,image_data/backhand/B_220.jpeg,B_220.jpeg,backhand
1724,image_data/serve/S_392.jpeg,S_392.jpeg,serve
197,image_data/backhand/B_061.jpeg,B_061.jpeg,backhand
1595,image_data/serve/S_183.jpeg,S_183.jpeg,serve
785,image_data/forehand/F_406.jpeg,F_406.jpeg,forehand
1269,image_data/ready_position/R_041.jpeg,R_041.jpeg,ready_position
1075,image_data/ready_position/R_013.jpeg,R_013.jpeg,ready_position
94,image_data/backhand/B_143.jpeg,B_143.jpeg,backhand
989,image_data/forehand/F_339.jpeg,F_339.jpeg,forehand
1431,image_data/ready_position/R_138.jpeg,R_138.jpeg,ready_position
110,image_data/backhand/B_067.jpeg,B_067.jpeg,backhand
874,image_data/forehand/F_325.jpeg,F_325.jpeg,forehand
485,image_data/backhand/B_209.jpeg,B_209.jpeg,backhand
1428,image_data/ready_position/R_084.jpeg,R_084.jpeg,ready_position
50,image_data/backhand/B_197.jpeg,B_197.jpeg,backhand
933,image_data/forehand/F_070.jpeg,F_070.jpeg,forehand
234,image_data/backhand/B_104.jpeg,B_104.jpeg,backhand
34,image_data/backhand/B_396.jpeg,B_396.jpeg,backhand
13,image_data/backhand/B_436.jpeg,B_436.jpeg,backhand
1107,image_data/ready_position/R_336.jpeg,R_336.jpeg,ready_position
1870,image_data/serve/S_328.jpeg,S_328.jpeg,serve
1457,image_data/ready_position/R_416.jpeg,R_416.jpeg,ready_position
1805,image_data/serve/S_348.jpeg,S_348.jpeg,serve
1399,image_data/ready_position/R_421.jpeg,R_421.jpeg,ready_position
187,image_data/backhand/B_165.jpeg,B_165.jpeg,backhand
1693,image_data/serve/S_234.jpeg,S_234.jpeg,serve
96,image_data/backhand/B_071.jpeg,B_071.jpeg,backhand
1561,image_data/serve/S_116.jpeg,S_116.jpeg,serve
275,image_data/backhand/B_404.jpeg,B_404.jpeg,backhand
1823,image_data/serve/S_426.jpeg,S_426.jpeg,serve
1329,image_data/ready_position/R_488.jpeg,R_488.jpeg,ready_position
988,image_data/forehand/F_155.jpeg,F_155.jpeg,forehand
123,image_data/backhand/B_001.jpeg,B_001.jpeg,backhand
1453,image_data/ready_position/R_178.jpeg,R_178.jpeg,ready_position
185,image_data/backhand/B_077.jpeg,B_077.jpeg,backhand
754,image_data/forehand/F_472.jpeg,F_472.jpeg,forehand
1966,image_data/serve/S_457.jpeg,S_457.jpeg,serve
111,image_data/backhand/B_159.jpeg,B_159.jpeg,backhand
464,image_data/backhand/B_182.jpeg,B_182.jpeg,backhand
1270,image_data/ready_position/R_411.jpeg,R_411.jpeg,ready_position
1346,image_data/ready_position/R_492.jpeg,R_492.jpeg,ready_position
1950,image_data/serve/S_314.jpeg,S_314.jpeg,serve
22,image_data/backhand/B_027.jpeg,B_027.jpeg,backhand
439,image_data/backhand/B_287.jpeg,B_287.jpeg,backhand
1863,image_data/serve/S_410.jpeg,S_410.jpeg,serve
9,image_data/backhand/B_334.jpeg,B_334.jpeg,backhand
684,image_data/forehand/F_146.jpeg,F_146.jpeg,forehand
1684,image_data/serve/S_331.jpeg,S_331.jpeg,serve
1638,image_data/serve/S_346.jpeg,S_346.jpeg,serve
1594,image_data/serve/S_479.jpeg,S_479.jpeg,serve
1287,image_data/ready_position/R_186.jpeg,R_186.jpeg,ready_position
408,image_data/backhand/B_496.jpeg,B_496.jpeg,backhand
1412,image_data/ready_position/R_143.jpeg,R_143.jpeg,ready_position
318,image_data/backhand/B_274.jpeg,B_274.jpeg,backhand
446,image_data/backhand/B_415.jpeg,B_415.jpeg,backhand
1518,image_data/serve/S_225.jpeg,S_225.jpeg,serve
954,image_data/forehand/F_030.jpeg,F_030.jpeg,forehand
745,image_data/forehand/F_258.jpeg,F_258.jpeg,forehand
1964,image_data/serve/S_284.jpeg,S_284.jpeg,serve
608,image_data/forehand/F_045.jpeg,F_045.jpeg,forehand
1982,image_data/serve/S_089.jpeg,S_089.jpeg,serve
24,image_data/backhand/B_135.jpeg,B_135.jpeg,backhand
713,image_data/forehand/F_038.jpeg,F_038.jpeg,forehand
1095,image_data/ready_position/R_479.jpeg,R_479.jpeg,ready_position
319,image_data/backhand/B_448.jpeg,B_448.jpeg,backhand
844,image_data/forehand/F_145.jpeg,F_145.jpeg,forehand
612,image_data/forehand/F_194.jpeg,F_194.jpeg,forehand
746,image_data/forehand/F_063.jpeg,F_063.jpeg,forehand
373,image_data/backhand/B_422.jpeg,B_422.jpeg,backhand
1165,image_data/ready_position/R_188.jpeg,R_188.jpeg,ready_position
1296,image_data/ready_position/R_299.jpeg,R_299.jpeg,ready_position
1733,image_data/serve/S_296.jpeg,S_296.jpeg,serve
1281,image_data/ready_position/R_201.jpeg,R_201.jpeg,ready_position
246,image_data/backhand/B_078.jpeg,B_078.jpeg,backhand
1203,image_data/ready_position/R_222.jpeg,R_222.jpeg,ready_position
1979,image_data/serve/S_070.jpeg,S_070.jpeg,serve
966,image_data/forehand/F_495.jpeg,F_495.jpeg,forehand
146,image_data/backhand/B_312.jpeg,B_312.jpeg,backhand
1130,image_data/ready_position/R_184.jpeg,R_184.jpeg,ready_position
555,image_data/forehand/F_336.jpeg,F_336.jpeg,forehand
1498,image_data/ready_position/R_230.jpeg,R_230.jpeg,ready_position
762,image_data/forehand/F_277.jpeg,F_277.jpeg,forehand
1382,image_data/ready_position/R_323.jpeg,R_323.jpeg,ready_position
1433,image_data/ready_position/R_354.jpeg,R_354.jpeg,ready_position
1924,image_data/serve/S_483.jpeg,S_483.jpeg,serve
1829,image_data/serve/S_172.jpeg,S_172.jpeg,serve
1254,image_data/ready_position/R_490.jpeg,R_490.jpeg,ready_position
1390,image_data/ready_position/R_175.jpeg,R_175.jpeg,ready_position
1625,image_data/serve/S_025.jpeg,S_025.jpeg,serve
691,image_data/forehand/F_238.jpeg,F_238.jpeg,forehand
583,image_data/forehand/F_120.jpeg,F_120.jpeg,forehand
816,image_data/forehand/F_492.jpeg,F_492.jpeg,forehand
1749,image_data/serve/S_428.jpeg,S_428.jpeg,serve
1970,image_data/serve/S_400.jpeg,S_400.jpeg,serve
1392,image_data/ready_position/R_030.jpeg,R_030.jpeg,ready_position
1793,image_data/serve/S_325.jpeg,S_325.jpeg,serve
735,image_data/forehand/F_018.jpeg,F_018.jpeg,forehand
1908,image_data/serve/S_397.jpeg,S_397.jpeg,serve
433,image_data/backhand/B_140.jpeg,B_140.jpeg,backhand
987,image_data/forehand/F_010.jpeg,F_010.jpeg,forehand
92,image_data/backhand/B_456.jpeg,B_456.jpeg,backhand
486,image_data/backhand/B_435.jpeg,B_435.jpeg,backhand
828,image_data/forehand/F_344.jpeg,F_344.jpeg,forehand
414,image_data/backhand/B_341.jpeg,B_341.jpeg,backhand
1316,image_data/ready_position/R_470.jpeg,R_470.jpeg,ready_position
817,image_data/forehand/F_187.jpeg,F_187.jpeg,forehand
1612,image_data/serve/S_048.jpeg,S_048.jpeg,serve
958,image_data/forehand/F_335.jpeg,F_335.jpeg,forehand
17,image_data/backhand/B_031.jpeg,B_031.jpeg,backhand
1502,image_data/serve/S_161.jpeg,S_161.jpeg,serve
599,image_data/forehand/F_004.jpeg,F_004.jpeg,forehand
1573,image_data/serve/S_156.jpeg,S_156.jpeg,serve
771,image_data/forehand/F_037.jpeg,F_037.jpeg,forehand
890,image_data/forehand/F_011.jpeg,F_011.jpeg,forehand
1469,image_data/ready_position/R_379.jpeg,R_379.jpeg,ready_position
704,image_data/forehand/F_151.jpeg,F_151.jpeg,forehand
1129,image_data/ready_position/R_307.jpeg,R_307.jpeg,ready_position
178,image_data/backhand/B_021.jpeg,B_021.jpeg,backhand
843,image_data/forehand/F_450.jpeg,F_450.jpeg,forehand
724,image_data/forehand/F_096.jpeg,F_096.jpeg,forehand
1634,image_data/serve/S_079.jpeg,S_079.jpeg,serve
1603,image_data/serve/S_320.jpeg,S_320.jpeg,serve
1604,image_data/serve/S_265.jpeg,S_265.jpeg,serve
552,image_data/forehand/F_224.jpeg,F_224.jpeg,forehand
1671,image_data/serve/S_219.jpeg,S_219.jpeg,serve
1698,image_data/serve/S_330.jpeg,S_330.jpeg,serve
764,image_data/forehand/F_332.jpeg,F_332.jpeg,forehand
89,image_data/backhand/B_401.jpeg,B_401.jpeg,backhand
1381,image_data/ready_position/R_266.jpeg,R_266.jpeg,ready_position
536,image_data/forehand/F_249.jpeg,F_249.jpeg,forehand
1840,image_data/serve/S_261.jpeg,S_261.jpeg,serve
1312,image_data/ready_position/R_077.jpeg,R_077.jpeg,ready_position
1040,image_data/ready_position/R_069.jpeg,R_069.jpeg,ready_position
78,image_data/backhand/B_339.jpeg,B_339.jpeg,backhand
1692,image_data/serve/S_371.jpeg,S_371.jpeg,serve
490,image_data/backhand/B_198.jpeg,B_198.jpeg,backhand
213,image_data/backhand/B_305.jpeg,B_305.jpeg,backhand
1920,image_data/serve/S_417.jpeg,S_417.jpeg,serve
1278,image_data/ready_position/R_082.jpeg,R_082.jpeg,ready_position
738,image_data/forehand/F_274.jpeg,F_274.jpeg,forehand
1337,image_data/ready_position/R_298.jpeg,R_298.jpeg,ready_position
1200,image_data/ready_position/R_019.jpeg,R_019.jpeg,ready_position
1049,image_data/ready_position/R_045.jpeg,R_045.jpeg,ready_position
46,image_data/backhand/B_343.jpeg,B_343.jpeg,backhand
132,image_data/backhand/B_040.jpeg,B_040.jpeg,backhand
1778,image_data/serve/S_082.jpeg,S_082.jpeg,serve
451,image_data/backhand/B_012.jpeg,B_012.jpeg,backhand
1670,image_data/serve/S_130.jpeg,S_130.jpeg,serve
1492,image_data/ready_position/R_271.jpeg,R_271.jpeg,ready_position
334,image_data/backhand/B_425.jpeg,B_425.jpeg,backhand
1645,image_data/serve/S_487.jpeg,S_487.jpeg,serve
1350,image_data/ready_position/R_216.jpeg,R_216.jpeg,ready_position
360,image_data/backhand/B_487.jpeg,B_487.jpeg,backhand
1801,image_data/serve/S_173.jpeg,S_173.jpeg,serve
1238,image_data/ready_position/R_384.jpeg,R_384.jpeg,ready_position
1064,image_data/ready_position/R_117.jpeg,R_117.jpeg,ready_position
266,image_data/backhand/B_445.jpeg,B_445.jpeg,backhand
1745,image_data/serve/S_081.jpeg,S_081.jpeg,serve
188,image_data/backhand/B_470.jpeg,B_470.jpeg,backhand
345,image_data/backhand/B_106.jpeg,B_106.jpeg,backhand
798,image_data/forehand/F_369.jpeg,F_369.jpeg,forehand
1479,image_data/ready_position/R_070.jpeg,R_070.jpeg,ready_position
382,image_data/backhand/B_176.jpeg,B_176.jpeg,backhand
1895,image_data/serve/S_067.jpeg,S_067.jpeg,serve
800,image_data/forehand/F_410.jpeg,F_410.jpeg,forehand
1077,image_data/ready_position/R_101.jpeg,R_101.jpeg,ready_position
1260,image_data/ready_position/R_391.jpeg,R_391.jpeg,ready_position
1623,image_data/serve/S_137.jpeg,S_137.jpeg,serve
1438,image_data/ready_position/R_246.jpeg,R_246.jpeg,ready_position
960,image_data/forehand/F_266.jpeg,F_266.jpeg,forehand
1486,image_data/ready_position/R_461.jpeg,R_461.jpeg,ready_position
812,image_data/forehand/F_095.jpeg,F_095.jpeg,forehand
27,image_data/backhand/B_457.jpeg,B_457.jpeg,backhand
1353,image_data/ready_position/R_200.jpeg,R_200.jpeg,ready_position
539,image_data/forehand/F_160.jpeg,F_160.jpeg,forehand
946,image_data/forehand/F_071.jpeg,F_071.jpeg,forehand
1808,image_data/serve/S_431.jpeg,S_431.jpeg,serve
363,image_data/backhand/B_184.jpeg,B_184.jpeg,backhand
1273,image_data/ready_position/R_368.jpeg,R_368.jpeg,ready_position
259,image_data/backhand/B_347.jpeg,B_347.jpeg,backhand
603,image_data/forehand/F_442.jpeg,F_442.jpeg,forehand
886,image_data/forehand/F_142.jpeg,F_142.jpeg,forehand
1627,image_data/serve/S_160.jpeg,S_160.jpeg,serve
1931,image_data/serve/S_138.jpeg,S_138.jpeg,serve
1406,image_data/ready_position/R_051.jpeg,R_051.jpeg,ready_position
1555,image_data/serve/S_287.jpeg,S_287.jpeg,serve
937,image_data/forehand/F_027.jpeg,F_027.jpeg,forehand
60,image_data/backhand/B_210.jpeg,B_210.jpeg,backhand
130,image_data/backhand/B_390.jpeg,B_390.jpeg,backhand
1776,image_data/serve/S_313.jpeg,S_313.jpeg,serve
1475,image_data/ready_position/R_027.jpeg,R_027.jpeg,ready_position
171,image_data/backhand/B_488.jpeg,B_488.jpeg,backhand
84,image_data/backhand/B_047.jpeg,B_047.jpeg,backhand
387,image_data/backhand/B_336.jpeg,B_336.jpeg,backhand
1769,image_data/serve/S_041.jpeg,S_041.jpeg,serve
1225,image_data/ready_position/R_146.jpeg,R_146.jpeg,ready_position
788,image_data/forehand/F_282.jpeg,F_282.jpeg,forehand
1242,image_data/ready_position/R_486.jpeg,R_486.jpeg,ready_position
818,image_data/forehand/F_169.jpeg,F_169.jpeg,forehand
1883,image_data/serve/S_289.jpeg,S_289.jpeg,serve
1090,image_data/ready_position/R_341.jpeg,R_341.jpeg,ready_position
1930,image_data/serve/S_207.jpeg,S_207.jpeg,serve
728,image_data/forehand/F_491.jpeg,F_491.jpeg,forehand
1460,image_data/ready_position/R_292.jpeg,R_292.jpeg,ready_position
994,image_data/forehand/F_285.jpeg,F_285.jpeg,forehand
230,image_data/backhand/B_387.jpeg,B_387.jpeg,backhand
139,image_data/backhand/B_294.jpeg,B_294.jpeg,backhand
541,image_data/forehand/F_072.jpeg,F_072.jpeg,forehand
1971,image_data/serve/S_050.jpeg,S_050.jpeg,serve
62,image_data/backhand/B_211.jpeg,B_211.jpeg,backhand
362,image_data/backhand/B_311.jpeg,B_311.jpeg,backhand
569,image_data/forehand/F_321.jpeg,F_321.jpeg,forehand
1820,image_data/serve/S_308.jpeg,S_308.jpeg,serve
1186,image_data/ready_position/R_327.jpeg,R_327.jpeg,ready_position
1857,image_data/serve/S_257.jpeg,S_257.jpeg,serve
862,image_data/forehand/F_431.jpeg,F_431.jpeg,forehand
866,image_data/forehand/F_036.jpeg,F_036.jpeg,forehand
1036,image_data/ready_position/R_090.jpeg,R_090.jpeg,ready_position
